V2,V3,rule,support,confidence,lift
"({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens'})",({'Bacteroides uniformis'}),"({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens'}) ({'Bacteroides uniformis'})",0.72463768115942,0.990096582623729,1.0273411152265
"({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens'})",({'Faecalibacterium prausnitzii'}),"({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens'}) ({'Faecalibacterium prausnitzii'})",0.71286231884058,0.969231167902166,1.02891890593228
"({'[Eubacterium] rectale', 'Anaerostipes hadrus', 'Faecalibacterium prausnitzii'})",({'Bacteroides uniformis'}),"({'[Eubacterium] rectale', 'Anaerostipes hadrus', 'Faecalibacterium prausnitzii'}) ({'Bacteroides uniformis'})",0.715217391304348,1,1.0376173826648
"({'[Eubacterium] rectale', 'Anaerostipes hadrus'})","({'Bacteroides uniformis', 'Faecalibacterium prausnitzii'})","({'[Eubacterium] rectale', 'Anaerostipes hadrus'}) ({'Bacteroides uniformis', 'Faecalibacterium prausnitzii'})",0.715217391304348,0.982073145857167,1.07572530330398
"({'[Eubacterium] rectale', 'Anaerostipes hadrus'})",({'Bacteroides uniformis'}),"({'[Eubacterium] rectale', 'Anaerostipes hadrus'}) ({'Bacteroides uniformis'})",0.728260869565217,1,1.0376173826648
"({'[Eubacterium] rectale', 'Anaerostipes hadrus'})",({'Faecalibacterium prausnitzii'}),"({'[Eubacterium] rectale', 'Anaerostipes hadrus'}) ({'Faecalibacterium prausnitzii'})",0.715217391304348,0.982073145857167,1.04418844938376
"({'[Eubacterium] rectale', 'Bacteroides uniformis', 'Anaerostipes hadrus'})",({'Faecalibacterium prausnitzii'}),"({'[Eubacterium] rectale', 'Bacteroides uniformis', 'Anaerostipes hadrus'}) ({'Faecalibacterium prausnitzii'})",0.715217391304348,0.982073145857167,1.04418844938376
"({'[Eubacterium] rectale', 'Bacteroides uniformis', 'Faecalibacterium prausnitzii'})",({'Anaerostipes hadrus'}),"({'[Eubacterium] rectale', 'Bacteroides uniformis', 'Faecalibacterium prausnitzii'}) ({'Anaerostipes hadrus'})",0.715217391304348,0.925012023542701,1.08089366121001
"({'[Eubacterium] rectale', 'Bacteroides uniformis', 'Faecalibacterium prausnitzii'})",({'Fusicatenibacter saccharivorans'}),"({'[Eubacterium] rectale', 'Bacteroides uniformis', 'Faecalibacterium prausnitzii'}) ({'Fusicatenibacter saccharivorans'})",0.721014492753623,0.929922955146022,1.11351633229126
"({'[Eubacterium] rectale', 'Bacteroides uniformis', 'Faecalibacterium prausnitzii'})",({'Parabacteroides distasonis'}),"({'[Eubacterium] rectale', 'Bacteroides uniformis', 'Faecalibacterium prausnitzii'}) ({'Parabacteroides distasonis'})",0.741304347826087,0.958739008116772,1.03283746327522
"({'[Eubacterium] rectale', 'Bacteroides uniformis', 'Parabacteroides distasonis'})",({'Faecalibacterium prausnitzii'}),"({'[Eubacterium] rectale', 'Bacteroides uniformis', 'Parabacteroides distasonis'}) ({'Faecalibacterium prausnitzii'})",0.741304347826087,0.974300428164162,1.03589220510103
"({'[Eubacterium] rectale', 'Bacteroides uniformis', 'Parabacteroides distasonis'})",({'Phocaeicola vulgatus'}),"({'[Eubacterium] rectale', 'Bacteroides uniformis', 'Parabacteroides distasonis'}) ({'Phocaeicola vulgatus'})",0.720289855072464,0.946658289700902,1.04513641839904
"({'[Eubacterium] rectale', 'Bacteroides uniformis', 'Phocaeicola vulgatus'})",({'Parabacteroides distasonis'}),"({'[Eubacterium] rectale', 'Bacteroides uniformis', 'Phocaeicola vulgatus'}) ({'Parabacteroides distasonis'})",0.720289855072464,0.964105446053426,1.0386115868602
"({'[Eubacterium] rectale', 'Bacteroides uniformis'})",({'Agathobaculum butyriciproducens'}),"({'[Eubacterium] rectale', 'Bacteroides uniformis'}) ({'Agathobaculum butyriciproducens'})",0.72463768115942,0.909892507334087,1.02840841007748
"({'[Eubacterium] rectale', 'Bacteroides uniformis'})","({'Anaerostipes hadrus', 'Faecalibacterium prausnitzii'})","({'[Eubacterium] rectale', 'Bacteroides uniformis'}) ({'Anaerostipes hadrus', 'Faecalibacterium prausnitzii'})",0.715217391304348,0.898085449858214,1.07403169661342
"({'[Eubacterium] rectale', 'Bacteroides uniformis'})",({'Anaerostipes hadrus'}),"({'[Eubacterium] rectale', 'Bacteroides uniformis'}) ({'Anaerostipes hadrus'})",0.728260869565217,0.914479665930109,1.06857529341767
"({'[Eubacterium] rectale', 'Bacteroides uniformis'})",({'Collinsella aerofaciens'}),"({'[Eubacterium] rectale', 'Bacteroides uniformis'}) ({'Collinsella aerofaciens'})",0.735507246376812,0.923537935443657,1.05680118231681
"({'[Eubacterium] rectale', 'Bacteroides uniformis'})",({'Faecalibacterium prausnitzii'}),"({'[Eubacterium] rectale', 'Bacteroides uniformis'}) ({'Faecalibacterium prausnitzii'})",0.773188405797102,0.970898511168455,1.03227731393027
"({'[Eubacterium] rectale', 'Bacteroides uniformis'})","({'Fusicatenibacter saccharivorans', 'Faecalibacterium prausnitzii'})","({'[Eubacterium] rectale', 'Bacteroides uniformis'}) ({'Fusicatenibacter saccharivorans', 'Faecalibacterium prausnitzii'})",0.721014492753623,0.901484102028018,1.1034714077889
"({'[Eubacterium] rectale', 'Bacteroides uniformis'})",({'Fusicatenibacter saccharivorans'}),"({'[Eubacterium] rectale', 'Bacteroides uniformis'}) ({'Fusicatenibacter saccharivorans'})",0.728985507246377,0.915359275472088,1.0994053478039
"({'[Eubacterium] rectale', 'Bacteroides uniformis'})","({'Parabacteroides distasonis', 'Faecalibacterium prausnitzii'})","({'[Eubacterium] rectale', 'Bacteroides uniformis'}) ({'Parabacteroides distasonis', 'Faecalibacterium prausnitzii'})",0.741304347826087,0.930840935151975,1.05467866376674
"({'[Eubacterium] rectale', 'Bacteroides uniformis'})",({'Parabacteroides distasonis'}),"({'[Eubacterium] rectale', 'Bacteroides uniformis'}) ({'Parabacteroides distasonis'})",0.760869565217391,0.955392400396429,1.02923210642563
"({'[Eubacterium] rectale', 'Bacteroides uniformis'})","({'Phocaeicola vulgatus', 'Parabacteroides distasonis'})","({'[Eubacterium] rectale', 'Bacteroides uniformis'}) ({'Phocaeicola vulgatus', 'Parabacteroides distasonis'})",0.720289855072464,0.904432975403967,1.05238739052324
"({'[Eubacterium] rectale', 'Bacteroides uniformis'})",({'Phocaeicola vulgatus'}),"({'[Eubacterium] rectale', 'Bacteroides uniformis'}) ({'Phocaeicola vulgatus'})",0.747101449275362,0.9381055480572,1.03568691229774
"({'[Eubacterium] rectale', 'Bacteroides uniformis'})",({'Roseburia inulinivorans'}),"({'[Eubacterium] rectale', 'Bacteroides uniformis'}) ({'Roseburia inulinivorans'})",0.721739130434783,0.906263990389695,1.09809588847468
"({'[Eubacterium] rectale', 'Collinsella aerofaciens'})",({'Bacteroides uniformis'}),"({'[Eubacterium] rectale', 'Collinsella aerofaciens'}) ({'Bacteroides uniformis'})",0.735507246376812,0.990240929789145,1.02749075482463
"({'[Eubacterium] rectale', 'Faecalibacterium prausnitzii'})",({'Agathobaculum butyriciproducens'}),"({'[Eubacterium] rectale', 'Faecalibacterium prausnitzii'}) ({'Agathobaculum butyriciproducens'})",0.71286231884058,0.912965538799325,1.02639290542141
"({'[Eubacterium] rectale', 'Faecalibacterium prausnitzii'})",({'Anaerostipes hadrus'}),"({'[Eubacterium] rectale', 'Faecalibacterium prausnitzii'}) ({'Anaerostipes hadrus'})",0.715217391304348,0.917275278246588,1.07185366648324
"({'[Eubacterium] rectale', 'Faecalibacterium prausnitzii'})","({'Bacteroides uniformis', 'Anaerostipes hadrus'})","({'[Eubacterium] rectale', 'Faecalibacterium prausnitzii'}) ({'Bacteroides uniformis', 'Anaerostipes hadrus'})",0.715217391304348,0.917275278246588,1.08939499017352
"({'[Eubacterium] rectale', 'Faecalibacterium prausnitzii'})","({'Bacteroides uniformis', 'Parabacteroides distasonis'})","({'[Eubacterium] rectale', 'Faecalibacterium prausnitzii'}) ({'Bacteroides uniformis', 'Parabacteroides distasonis'})",0.741304347826087,0.950719336977204,1.05383006889316
"({'[Eubacterium] rectale', 'Faecalibacterium prausnitzii'})",({'Bacteroides uniformis'}),"({'[Eubacterium] rectale', 'Faecalibacterium prausnitzii'}) ({'Bacteroides uniformis'})",0.773188405797102,0.991635725156512,1.02893100623865
"({'[Eubacterium] rectale', 'Faecalibacterium prausnitzii'})","({'Fusicatenibacter saccharivorans', 'Bacteroides uniformis'})","({'[Eubacterium] rectale', 'Faecalibacterium prausnitzii'}) ({'Fusicatenibacter saccharivorans', 'Bacteroides uniformis'})",0.721014492753623,0.922393806587609,1.1178959400737
"({'[Eubacterium] rectale', 'Faecalibacterium prausnitzii'})",({'Fusicatenibacter saccharivorans'}),"({'[Eubacterium] rectale', 'Faecalibacterium prausnitzii'}) ({'Fusicatenibacter saccharivorans'})",0.723188405797101,0.927499977390571,1.11399094376676
"({'[Eubacterium] rectale', 'Faecalibacterium prausnitzii'})",({'Parabacteroides distasonis'}),"({'[Eubacterium] rectale', 'Faecalibacterium prausnitzii'}) ({'Parabacteroides distasonis'})",0.747826086956522,0.959083611820693,1.03320877791414
"({'[Eubacterium] rectale', 'Parabacteroides distasonis', 'Faecalibacterium prausnitzii'})",({'Bacteroides uniformis'}),"({'[Eubacterium] rectale', 'Parabacteroides distasonis', 'Faecalibacterium prausnitzii'}) ({'Bacteroides uniformis'})",0.741304347826087,0.991279455839227,1.02856096247021
"({'[Eubacterium] rectale', 'Parabacteroides distasonis'})","({'Bacteroides uniformis', 'Faecalibacterium prausnitzii'})","({'[Eubacterium] rectale', 'Parabacteroides distasonis'}) ({'Bacteroides uniformis', 'Faecalibacterium prausnitzii'})",0.741304347826087,0.966015337724708,1.05810361396158
"({'[Eubacterium] rectale', 'Parabacteroides distasonis'})","({'Bacteroides uniformis', 'Phocaeicola vulgatus'})","({'[Eubacterium] rectale', 'Parabacteroides distasonis'}) ({'Bacteroides uniformis', 'Phocaeicola vulgatus'})",0.720289855072464,0.938616519651867,1.06350607344114
